Family,Genus,C3,CAM,C3-CAM,C4-CAM,C4,C3-C4,Sources,Order,Subfamily,Tribe,Subtribe
Achariaceae,Acharia,,,,,,,,,,,
Achatocarpaceae,Achatocarpus,,,,,,,,,,,
Plantaginaceae,Achetaria,,,,,,,,,,,
Asteraceae,Achillea,,,,,,,,,,,
Gesneriaceae,Achimenantha,,,,,,,,,,,
Gesneriaceae,Achimenes,,,,,,,,,,,
Xyridaceae,Achlyphila,,,,,,,,,,,
Berberidaceae,Achlys,,,,,,,,,,,
Poaceae,Achnatherum,,,,,,,,,,,
Poaceae,Achneria,,,,,,,,,,,
Asteraceae,Achnophora,,,,,,,,,,,
Asteraceae,Achnopogon,,,,,,,,,,,
Brassicaceae,Achoriphragma,,,,,,,,,,,
Sapotaceae,Achras,,,,,,,,,,,
Rutaceae,Achuaria,,,,,,,,,,,
Urticaceae,Achudemia,,,,,,,,,,,
Moraceae,Achymus,,,,,,,,,,,
Asteraceae,Achyrachaena,,,,,,,,,,,
Amaranthaceae,Achyranthes,1.0,0.0,0.0,0.0,0.0,,Sage et al (2007),Caryophyllales,,,
Acanthaceae,Achyrocalyx,,,,,,,,,,,
Asteraceae,Achyrocline,,,,,,,,,,,
Fabaceae,Achyronia,,,,,,,,,,,
Caryophyllaceae,Achyronychia,,,,,,,,,,,
Asteraceae,Achyropappus,,,,,,,,,,,
Asteraceae,Achyrophorus,,,,,,,,,,,
Amaranthaceae,Achyropsis,1.0,0.0,0.0,0.0,0.0,,Sage et al (2007),Caryophyllales,,,
Lamiaceae,Achyrospermum,,,,,,,,,,,
Poaceae,Aciachne,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Orchidaceae,Acianthera,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Orchidaceae,Acianthus,1.0,0.0,0.0,0.0,0.0,,,Asparagales,,,
Calyceraceae,Acicarpha,,,,,,,,,,,
Iridaceae,Acidanthera,,,,,,,,,,,
Euphorbiaceae,Acidocroton,,,,,,,,,,,
Proteaceae,Acidonia,,,,,,,,,,,
Poaceae,Acidosasa,1.0,0.0,0.0,0.0,0.0,0.0,Osborne et al (2014),,,,
Euphorbiaceae,Acidoton,,,,,,,,,,,
Asteraceae,Acilepidopsis,,,,,,,,,,,
Asteraceae,Acilepis,,,,,,,,,,,
Orchidaceae,Acineta,,,,,,,,,,,
Melastomataceae,Acinodendron,,,,,,,,,,,
Melastomataceae,Acinolis,,,,,,,,,,,
Lamiaceae,Acinos,,,,,,,,,,,
Chrysobalanaceae,Acioa,,,,,,,,,,,
Melastomataceae,Aciotis,,,,,,,,,,,
Melastomataceae,Acipetalum,,,,,,,,,,,
Apiaceae,Aciphylla,,,,,,,,,,,
Amaryllidaceae,Acis,,,,,,,,,,,
Melastomataceae,Acisanthera,,,,,,,,,,,
Cunoniaceae,Ackama,,,,,,,,,,,
Nyctaginaceae,Acleisanthes,,,,,,,,,,,
Commelinaceae,Aclisia,,,,,,,,,,,
Rutaceae,Acmadenia,,,,,,,,,,,
Malpighiaceae,Acmanthera,,,,,,,,,,,
Asteraceae,Acmella,,,,,,,,,,,
Myrtaceae,Acmena,,,,,,,,,,,
Fabaceae,Acmispon,,,,,,,,,,,
Amaranthaceae,Acnida,,,,,,,,,,,
Solanaceae,Acnistus,,,,,,,,,,,
Arecaceae,Acoelorrhaphe,,,,,,,,,,,
Apocynaceae,Acokanthera,,,,,,,,,,,
Rosaceae,Acomastylis,,,,,,,,,,,
Capparaceae,Acome,,,,,,,,,,,
Asteraceae,Acomis,,,,,,,,,,,
Ranunculaceae,Aconitella,,,,,,,,,,,
Ranunculaceae,Aconitum,,,,,,,,,,,
Polygonaceae,Aconogonon,,,,,,,,,,,
Polygonaceae,Aconogonum,,,,,,,,,,,
Araceae,Acontias,,,,,,,,,,,
Poaceae,Acophorum,,,,,,,,,,,
Orchidaceae,Acoridium,,,,,,,,,,,
Acoraceae,Acorus,,,,,,,,,,,
Caryophyllaceae,Acosmia,,,,,,,,,,,
Fabaceae,Acosmium,,,,,,,,,,,
Malpighiaceae,Acosmus,,,,,,,,,,,
Asteraceae,Acosta,,,,,,,,,,,
Poaceae,Acostia,0.0,0.0,0.0,0.0,1.0,0.0,Osborne et al (2014),,,,
Asteraceae,Acourtia,,,,,,,,,,,
Poaceae,Acrachne,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Rutaceae,Acradenia,,,,,,,,,,,
Rubiaceae,Acranthera,,,,,,,,,,,
Malpighiaceae,Acridocarpus,,,,,,,,,,,
Meliaceae,Acrilia,,,,,,,,,,,
Orchidaceae,Acriopsis,,,,,,,,,,,
Asteraceae,Acrisione,,,,,,,,,,,
Poaceae,Acritochaete,0.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Asteraceae,Acritopappus,,,,,,,,,,,
Cyperaceae,Acriulus,,,,,,,,,,,
Balanophoraceae,Acroblastum,,,,,,,,,,,
Rubiaceae,Acrobotrys,,,,,,,,,,,
Piperaceae,Acrocarpidium,,,,,,,,,,,
Fabaceae,Acrocarpus,,,,,,,,,,,
Asteraceae,Acrocentron,,,,,,,,,,,
Lamiaceae,Acrocephalus,,,,,,,,,,,
Poaceae,Acroceras,1.0,0.0,0.0,0.0,0.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Orchidaceae,Acrochaene,,,,,,,,,,,
Asteraceae,Acroclinium,,,,,,,,,,,
Arecaceae,Acrocomia,,,,,,,,,,,
Apocynaceae,Acrocoryne,,,,,,,,,,,
Lauraceae,Acrodiclidium,,,,,,,,,,,
Aizoaceae,Acrodon,,,,,,,,,,,
Amaranthaceae,Acroglochin,,,,,,,,,,,
Apiaceae,Acroglyphe,,,,,,,,,,,
Loasaceae,Acrolasia,,,,,,,,,,,
Orchidaceae,Acrolophia,,,,,,,,,,,
Apiaceae,Acronema,,,,,,,,,,,
Orchidaceae,Acronia,,,,,,,,,,,
Rutaceae,Acronychia,,,,,,,,,,,
Cunoniaceae,Acrophyllum,,,,,,,,,,,
Fabaceae,Acropodium,,,,,,,,,,,
Malvaceae,Acropogon,,,,,,,,,,,
Orchidaceae,Acrorchis,,,,,,,,,,,
Aizoaceae,Acrosanthes,,,,,,,,,,,
Brassicaceae,Acroschizocarpus,,,,,,,,,,,
Malvaceae,Acrosepalum,,,,,,,,,,,
Asparagaceae,Acrospira,,,,,,,,,,,
Loranthaceae,Acrostachys,,,,,,,,,,,
Ericaceae,Acrostemon,,,,,,,,,,,
Loranthaceae,Acrostephanus,,,,,,,,,,,
Rubiaceae,Acrosynanthus,,,,,,,,,,,
Lamiaceae,Acrotome,,,,,,,,,,,
Dilleniaceae,Acrotrema,,,,,,,,,,,
Ericaceae,Acrotriche,,,,,,,,,,,
Lamiaceae,Acrymia,,,,,,,,,,,
Cunoniaceae,Acsmithia,,,,,,,,,,,
Ranunculaceae,Actaea,,,,,,,,,,,
Phyllanthaceae,Actephila,,,,,,,,,,,
Euphorbiaceae,Actephilopsis,,,,,,,,,,,
Loranthaceae,Actinanthella,,,,,,,,,,,
Apiaceae,Actinanthus,,,,,,,,,,,
Asteraceae,Actinea,,,,,,,,,,,
Asteraceae,Actinella,,,,,,,,,,,
Actinidiaceae,Actinidia,,,,,,,,,,,
Asteraceae,Actinobole,,,,,,,,,,,
Boraginaceae,Actinocarya,,,,,,,,,,,
Eriocaulaceae,Actinocephalus,,,,,,,,,,,
Anacardiaceae,Actinocheita,,,,,,,,,,,
Poaceae,Actinocladum,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
Lauraceae,Actinodaphne,,,,,,,,,,,
Myrtaceae,Actinodium,,,,,,,,,,,
Arecaceae,Actinokentia,,,,,,,,,,,
Apiaceae,Actinolema,,,,,,,,,,,
Asteraceae,Actinolepis,,,,,,,,,,,
Asteraceae,Actinomeris,,,,,,,,,,,
Arecaceae,Actinorhytis,,,,,,,,,,,
Cyperaceae,Actinoschoenus,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Cyperaceae,Actinoscirpus,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Asteraceae,Actinoseris,,,,,,,,,,,
Asteraceae,Actinospermum,,,,,,,,,,,
Ranunculaceae,Actinospora,,,,,,,,,,,
Cucurbitaceae,Actinostemma,,,,,,,,,,,
Euphorbiaceae,Actinostemon,,,,,,,,,,,
Apiaceae,Actinotus,,,,,,,,,,,
Fabaceae,Acuan,,,,,,,,,,,
Fabaceae,Acuania,,,,,,,,,,,
Cornaceae,Acuba,,,,,,,,,,,
Rubiaceae,Acunaeanthus,,,,,,,,,,,
Apocynaceae,Acustelma,,,,,,,,,,,
Brassicaceae,Acuston,,,,,,,,,,,
Orchidaceae,Ada,,,,,,,,,,,
Orchidaceae,Adamantinia,,,,,,,,,,,
Melastomataceae,Adamea,,,,,,,,,,,
Hydrangeaceae,Adamia,,,,,,,,,,,
Malvaceae,Adansonia,,,,,,,,,,,
Asteraceae,Addisonia,,,,,,,,,,,
Icacinaceae,Adelanthus,,,,,,,,,,,
Melastomataceae,Adelbertia,,,,,,,,,,,
Euphorbiaceae,Adelia,,,,,,,,,,,
Melastomataceae,Adelobotrys,,,,,,,,,,,
Boraginaceae,Adelocaryum,,,,,,,,,,,
Acanthaceae,Adeloda,,,,,,,,,,,
Apocynaceae,Adelostemma,,,,,,,,,,,
Asteraceae,Adelostigma,,,,,,,,,,,
Malpighiaceae,Adelphia,,,,,,,,,,,
Acanthaceae,Adenacanthus,,,,,,,,,,,
Asteraceae,Adenachaena,,,,,,,,,,,
Rutaceae,Adenandra,,,,,,,,,,,
Ochnaceae,Adenanthe,,,,,,,,,,,
Asteraceae,Adenanthellum,,,,,,,,,,,
Fabaceae,Adenanthera,,,,,,,,,,,
Proteaceae,Adenanthos,,,,,,,,,,,
Ochnaceae,Adenarake,,,,,,,,,,,
Lythraceae,Adenaria,,,,,,,,,,,
Caryophyllaceae,Adenarium,,,,,,,,,,,
Gentianaceae,Adenema,,,,,,,,,,,
Passifloraceae,Adenia,0.0,1.0,0.0,0.0,0.0,,,Malpighiales,,,
Apocynaceae,Adenium,,,,,,,,,,,
Passifloraceae,Adenoa,,,,,,,,,,,
Elaeocarpaceae,Adenobasium,,,,,,,,,,,
Bignoniaceae,Adenocalymma,,,,,,,,,,,
Fabaceae,Adenocalyx,,,,,,,,,,,
Fabaceae,Adenocarpus,,,,,,,,,,,
Asteraceae,Adenocaulon,,,,,,,,,,,
Orchidaceae,Adenochilus,,,,,,,,,,,
Euphorbiaceae,Adenochlaena,,,,,,,,,,,
Euphorbiaceae,Adenocline,,,,,,,,,,,
Asteraceae,Adenocritonia,,,,,,,,,,,
Lauraceae,Adenodaphne,,,,,,,,,,,
Fabaceae,Adenodolichos,,,,,,,,,,,
Asteraceae,Adenoglossa,,,,,,,,,,,
Molluginaceae,Adenogramma,,,,,,,,,,,
Onagraceae,Adenola,,,,,,,,,,,
Linaceae,Adenolinum,,,,,,,,,,,
Gentianaceae,Adenolisianthus,,,,,,,,,,,
Fabaceae,Adenolobus,,,,,,,,,,,
Orchidaceae,Adenoncos,,,,,,,,,,,
Caryophyllaceae,Adenonema,,,,,,,,,,,
Asteraceae,Adenoon,,,,,,,,,,,
Asteraceae,Adenopappus,,,,,,,,,,,
Euphorbiaceae,Adenopeltis,,,,,,,,,,,
Euphorbiaceae,Adenophaedra,,,,,,,,,,,
Campanulaceae,Adenophora,,,,,,,,,,,
Asteraceae,Adenophyllum,,,,,,,,,,,
Scrophulariaceae,Adenoplea,,,,,,,,,,,
Scrophulariaceae,Adenoplusia,,,,,,,,,,,
Fabaceae,Adenopodia,,,,,,,,,,,
Gentianaceae,Adenopogon,,,,,,,,,,,
Malpighiaceae,Adenoporces,,,,,,,,,,,
Cucurbitaceae,Adenopus,,,,,,,,,,,
Rosaceae,Adenorachis,,,,,,,,,,,
Rubiaceae,Adenorandia,,,,,,,,,,,
Rubiaceae,Adenosacme,,,,,,,,,,,
Apiaceae,Adenosciadium,,,,,,,,,,,
Plantaginaceae,Adenosma,,,,,,,,,,,
Asteraceae,Adenosolen,,,,,,,,,,,
Acanthaceae,Adenostachya,,,,,,,,,,,
Orobanchaceae,Adenostegia,,,,,,,,,,,
Asteraceae,Adenostemma,,,,,,,,,,,
Proteaceae,Adenostephanus,,,,,,,,,,,
Rosaceae,Adenostoma,,,,,,,,,,,
Asteraceae,Adenostyles,,,,,,,,,,,
Asteraceae,Adenostylium,,,,,,,,,,,
Asteraceae,Adenothamnus,,,,,,,,,,,
Fabaceae,Adesmia,,,,,,,,,,,
Acanthaceae,Adhatoda,,,,,,,,,,,
Urticaceae,Adicea,,,,,,,,,,,
Urticaceae,Adike,,,,,,,,,,,
Rubiaceae,Adina,,,,,,,,,,,
Pentaphylacaceae,Adinandra,,,,,,,,,,,
Pentaphylacaceae,Adinandrella,,,,,,,,,,,
Rubiaceae,Adinauclea,,,,,,,,,,,
Fabaceae,Adipera,,,,,,,,,,,
Rutaceae,Adiscanthus,,,,,,,,,,,
Papaveraceae,Adlumia,,,,,,,,,,,
Styracaceae,Adnaria,,,,,,,,,,,
Amaranthaceae,Adoketon,,,,,,,,,,,
Rhamnaceae,Adolia,,,,,,,,,,,
Rhamnaceae,Adolphia,,,,,,,,,,,
Ranunculaceae,Adonanthe,,,,,,,,,,,
Arecaceae,Adonidia,,,,,,,,,,,
Ranunculaceae,Adonis,,,,,,,,,,,
Asteraceae,Adopogon,,,,,,,,,,,
Apiaceae,Adorium,,,,,,,,,,,
Adoxaceae,Adoxa,,,,,,,,,,,
Dilleniaceae,Adrastaea,,,,,,,,,,,
Euphorbiaceae,Adriana,,,,,,,,,,,
Crassulaceae,Adromischus,0.0,1.0,0.0,0.0,0.0,,,Saxifragales,,,
Orchidaceae,Adrorhizon,,,,,,,,,,,
Brassicaceae,Adyseton,,,,,,,,,,,
Cucurbitaceae,Aechmandra,,,,,,,,,,,
Bromeliaceae,Aechmea,0.0,1.0,0.0,0.0,0.0,,,Poales,,,
Poaceae,Aechmophora,,,,,,,,,,,
Asteraceae,Aedesia,,,,,,,,,,,
Poaceae,Aegialina,,,,,,,,,,,
Plumbaginaceae,Aegialitis,,,,,,,,,,,
Asteraceae,Aegialophila,,,,,,,,,,,
Primulaceae,Aegiceras,,,,,,,,,,,
Poaceae,Aegilops,1.0,0.0,0.0,0.0,0.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Poaceae,Aegilotrichum,,,,,,,,,,,
Orobanchaceae,Aeginetia,,,,,,,,,,,
Lamiaceae,Aegiphila,,,,,,,,,,,
Rutaceae,Aegle,,,,,,,,,,,
Rutaceae,Aeglopsis,,,,,,,,,,,
Polemoniaceae,Aegochloa,,,,,,,,,,,
Apiaceae,Aegokeras,,,,,,,,,,,
Boraginaceae,Aegonychon,,,,,,,,,,,
Apiaceae,Aegopodium,,,,,,,,,,,
Poaceae,Aegopogon,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Poaceae,Aelbroeckia,,,,,,,,,,,
Amaranthaceae,Aellenia,,,,,,,,,,,
Poaceae,Aeluropus,0.0,0.0,0.0,0.0,1.0,0.0,Metcalfe (1960); Watson and Dallwitz (1992),,,,
Orchidaceae,Aenhenrya,,,,,,,,,,,
Fabaceae,Aenictophyton,,,,,,,,,,,
Malpighiaceae,Aenigmatanthera,,,,,,,,,,,
Lamiaceae,Aeolanthus,,,,,,,,,,,
Lamiaceae,Aeollanthus,,,,,,,,,,,
Orchidaceae,Aeonia,,,,,,,,,,,
Plumbaginaceae,Aeoniopsis,,,,,,,,,,,
Crassulaceae,Aeonium,0.0,1.0,0.0,0.0,0.0,,,Saxifragales,,,
Asteraceae,Aequatorium,,,,,,,,,,,
Orchidaceae,Aerangis,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Orchidaceae,Aeranthes,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Orchidaceae,Aeranthus,,,,,,,,,,,
Orchidaceae,Aerides,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Orchidaceae,Aeridovanda,,,,,,,,,,,
Amaranthaceae,Aerva,1.0,0.0,0.0,0.0,1.0,,,Caryophyllales,,,
Simaroubaceae,Aeschrion,,,,,,,,,,,
Gesneriaceae,Aeschynanthus,,,,,,,,,,,
Fabaceae,Aeschynomene,,,,,,,,,,,
Sapindaceae,Aesculus,,,,,,,,,,,
Loranthaceae,Aetanthus,,,,,,,,,,,
Acanthaceae,Aetheilema,,,,,,,,,,,
Asteraceae,Aetheolaena,,,,,,,,,,,
Commelinaceae,Aetheolirion,,,,,,,,,,,
Asteraceae,Aetheopappus,,,,,,,,,,,
Asteraceae,Aetheorhiza,,,,,,,,,,,
Orchidaceae,Aetheorhyncha,,,,,,,,,,,
Aizoaceae,Aethephyllum,,,,,,,,,,,
Orchidaceae,Aetheria,,,,,,,,,,,
Brassicaceae,Aethionema,,,,,,,,,,,
Apiaceae,Aethusa,,,,,,,,,,,
Thymelaeaceae,Aetoxylon,,,,,,,,,,,
Aextoxicaceae,Aextoxicon,,,,,,,,,,,
Fabaceae,Affonsea,,,,,,,,,,,
Fabaceae,Afgekia,,,,,,,,,,,
Rutaceae,Afraegle,,,,,,,,,,,
Fabaceae,Afrafzelia,,,,,,,,,,,
Apiaceae,Aframmi,,,,,,,,,,,
Zingiberaceae,Aframomum,,,,,,,,,,,
Rutaceae,Afraurantium,,,,,,,,,,,
Polygonaceae,Afrobrunnichia,,,,,,,,,,,
Marantaceae,Afrocalathea,,,,,,,,,,,
Rubiaceae,Afrocanthium,,,,,,,,,,,
Lauraceae,Afrodaphne,,,,,,,,,,,
Acanthaceae,Afrofittonia,,,,,,,,,,,
Annonaceae,Afroguatteria,,,,,,,,,,,
Chrysobalanaceae,Afrolicania,,,,,,,,,,,
Apiaceae,Afroligusticum,,,,,,,,,,,
Plumbaginaceae,Afrolimon,,,,,,,,,,,
Acanthaceae,Afromendoncia,,,,,,,,,,,
Fabaceae,Afrormosia,,,,,,,,,,,
Apiaceae,Afrosciadium,,,,,,,,,,,
Sapotaceae,Afrosersalisia,,,,,,,,,,,
Apiaceae,Afrosison,,,,,,,,,,,
Huaceae,Afrostyrax,,,,,,,,,,,
Burmanniaceae,Afrothismia,,,,,,,,,,,
Euphorbiaceae,Afrotrewia,,,,,,,,,,,
Poaceae,Afrotrichloris,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Cyperaceae,Afrotrilepis,1.0,0.0,0.0,0.0,0.0,0.0,Bruhl and Wilson (2007),,,,
Boraginaceae,Afrotysonia,,,,,,,,,,,
Crassulaceae,Afrovivella,,,,,,,,,,,
Fabaceae,Afzelia,,,,,,,,,,,
Orobanchaceae,Agalinis,,,,,,,,,,,
Thymelaeaceae,Agallochum,,,,,,,,,,,
Araliaceae,Agalma,,,,,,,,,,,
Gesneriaceae,Agalmyla,,,,,,,,,,,
Euphorbiaceae,Agaloma,,,,,,,,,,,
Asteraceae,Aganippea,,,,,,,,,,,
Orchidaceae,Aganisia,,,,,,,,,,,
Apocynaceae,Aganonerion,,,,,,,,,,,
Fabaceae,Aganope,,,,,,,,,,,
Apocynaceae,Aganosma,,,,,,,,,,,
Amaryllidaceae,Agapanthus,,,,,,,,,,,
Ericaceae,Agapetes,,,,,,,,,,,
Ericaceae,Agarista,,,,,,,,,,,
Lamiaceae,Agastache,,,,,,,,,,,
Proteaceae,Agastachys,,,,,,,,,,,
Clusiaceae,Agasthiyamalaia,,,,,,,,,,,
Apiaceae,Agasyllis,,,,,,,,,,,
Violaceae,Agatea,,,,,,,,,,,
Asteraceae,Agathaea,,,,,,,,,,,
Scrophulariaceae,Agathelpis,,,,,,,,,,,
Rubiaceae,Agathisanthemum,,,,,,,,,,,
Amaranthaceae,Agathophora,,,,,,,,,,,
Lauraceae,Agathophyllum,,,,,,,,,,,
Rutaceae,Agathosma,,,,,,,,,,,
Gentianaceae,Agathotes,,,,,,,,,,,
Asteraceae,Agathyrsus,,,,,,,,,,,
Fabaceae,Agati,,,,,,,,,,,
Violaceae,Agation,,,,,,,,,,,
Ericaceae,Agauria,,,,,,,,,,,
Asparagaceae,Agave,0.0,1.0,0.0,0.0,0.0,,,Asparagales,,,
Phytolaccaceae,Agdestis,,,,,,,,,,,
Connaraceae,Agelaea,,,,,,,,,,,
Loranthaceae,Agelanthus,,,,,,,,,,,
Poaceae,Agenium,0.0,0.0,0.0,0.0,1.0,0.0,Watson and Dallwitz (1992),,,,
Asteraceae,Ageratella,,,,,,,,,,,
Asteraceae,Ageratina,,,,,,,,,,,
Asteraceae,Ageratinastrum,,,,,,,,,,,
Asteraceae,Ageratum,,,,,,,,,,,
Aquifoliaceae,Ageria,,,,,,,,,,,
Asteraceae,Agiabampoa,,,,,,,,,,,
Zygophyllaceae,Agialida,,,,,,,,,,,
Brassicaceae,Agianthus,,,,,,,,,,,
Meliaceae,Aglaia,,,,,,,,,,,
Araceae,Aglaodorum,,,,,,,,,,,
Araceae,Aglaonema,,,,,,,,,,,
Amaryllidaceae,Aglitheis,,,,,,,,,,,
Orchidaceae,Aglossorrhyncha,,,,,,,,,,,
Poaceae,Agnesia,1.0,0.0,0.0,0.0,0.0,0.0,BEP clade,,,,
Aizoaceae,Agnirictus,,,,,,,,,,,
Asteraceae,Agnorhiza,,,,,,,,,,,
Opiliaceae,Agonandra,,,,,,,,,,,
Myrtaceae,Agonis,,,,,,,,,,,
Asteraceae,Agoseris,,,,,,,,,,,
Rubiaceae,Agouticarpa,,,,,,,,,,,
Poaceae,Agraulus,,,,,,,,,,,
Iridaceae,Agretta,,,,,,,,,,,
Asteraceae,Agrianthus,,,,,,,,,,,
Rosaceae,Agrimonia,,,,,,,,,,,
Amaranthaceae,Agriophyllum,,,,,,,,,,,
Asteraceae,Agriphyllum,,,,,,,,,,,
Apiaceae,Agrocharis,,,,,,,,,,,
Poaceae,Agropogon,1.0,0.0,0.0,0.0,0.0,0.0,BEP clade,,,,
Poaceae,Agropyron,1.0,0.0,0.0,0.0,0.0,0.0,Watson and Dallwitz (1992),,,,
